cell_id,total_counts,center_x,center_y,cell_quality,nb_cells,cluster_label
2,58,16.6611177170036,284.449464922711,Good quality(3498),3498,Good quality(3498)
3,61,27.139175257732,302.809278350515,Good quality(3498),3498,Good quality(3498)
6,102,42.9079011148812,385.951042171595,Good quality(3498),3498,Good quality(3498)
8,108,32.0301204819277,462.187123493976,Good quality(3498),3498,Good quality(3498)
9,73,18.9496644295302,669.556088207095,Good quality(3498),3498,Good quality(3498)
21,124,25.7062068965517,1064.32468965517,Good quality(3498),3498,Good quality(3498)
23,307,51.4306404163838,1148.73862864902,Good quality(3498),3498,Good quality(3498)
26,105,23.8949814126394,1434.74442379182,Good quality(3498),3498,Good quality(3498)
29,330,52.0785153461813,1653.12491077802,Good quality(3498),3498,Good quality(3498)
30,314,22.4345496300077,1709.09466700689,Good quality(3498),3498,Good quality(3498)
31,89,15.2323232323232,1865.36914600551,Good quality(3498),3498,Good quality(3498)
33,86,13.4273381294964,1919.73525179856,Good quality(3498),3498,Good quality(3498)
34,234,23.7013939838591,1938.82024944974,Good quality(3498),3498,Good quality(3498)
37,107,29.5378205128205,1385.10384615385,Good quality(3498),3498,Good quality(3498)
40,115,39.5819084390513,742.886376172091,Good quality(3498),3498,Good quality(3498)
41,162,26.9131313131313,222.657575757576,Good quality(3498),3498,Good quality(3498)
42,84,30.3531553398058,47.754854368932,Good quality(3498),3498,Good quality(3498)
43,73,33.5900939368062,715.3561058924,Good quality(3498),3498,Good quality(3498)
50,66,29.6741903827282,335.082433758587,Good quality(3498),3498,Good quality(3498)
51,127,32.1500815660685,251.233278955954,Good quality(3498),3498,Good quality(3498)
52,61,41.1277258566978,770.190031152648,Good quality(3498),3498,Good quality(3498)
54,187,45.7641025641026,212.308547008547,Good quality(3498),3498,Good quality(3498)
55,82,38.4927113702624,617.160349854227,Good quality(3498),3498,Good quality(3498)
57,79,49.0183098591549,187.276056338028,Good quality(3498),3498,Good quality(3498)
59,83,39.6629213483146,1837.76779026217,Good quality(3498),3498,Good quality(3498)
60,230,55.5294117647059,1961.76974789916,Good quality(3498),3498,Good quality(3498)
62,95,36.9352272727273,1469.06136363636,Good quality(3498),3498,Good quality(3498)
66,173,48.8535602328706,656.969099865652,Good quality(3498),3498,Good quality(3498)
70,103,44.6379003558719,979.445729537367,Good quality(3498),3498,Good quality(3498)
76,62,39.5292479108635,109.793871866295,Good quality(3498),3498,Good quality(3498)
78,333,65.9246935201401,1891.89667250438,Good quality(3498),3498,Good quality(3498)
79,108,41.5543328748281,159.287482806052,Good quality(3498),3498,Good quality(3498)
80,65,45.1446317657498,865.142857142857,Good quality(3498),3498,Good quality(3498)
86,131,46.8349514563107,79.9719525350593,Good quality(3498),3498,Good quality(3498)
87,117,46.784,131.3072,Good quality(3498),3498,Good quality(3498)
91,81,43.5641476274165,269.613356766257,Good quality(3498),3498,Good quality(3498)
94,144,50.8992,1939.808,Good quality(3498),3498,Good quality(3498)
107,139,64.5131147540984,1452.38852459016,Good quality(3498),3498,Good quality(3498)
109,134,77.9729311678268,607.53441608662,Good quality(3498),3498,Good quality(3498)
111,94,56.1798941798942,1865.41093474427,Good quality(3498),3498,Good quality(3498)
113,166,66.2907452907453,45.6723996723997,Good quality(3498),3498,Good quality(3498)
115,187,67.1766497461929,1403.22030456853,Good quality(3498),3498,Good quality(3498)
116,127,71.6356986100951,569.26188734455,Good quality(3498),3498,Good quality(3498)
117,97,61.3620885357548,944.348467650397,Good quality(3498),3498,Good quality(3498)
118,108,65.2259036144578,1818.76656626506,Good quality(3498),3498,Good quality(3498)
120,65,62.6086142322097,696.765917602996,Good quality(3498),3498,Good quality(3498)
124,91,71.8164146868251,1005.08423326134,Good quality(3498),3498,Good quality(3498)
129,75,64.0653266331658,103.190954773869,Good quality(3498),3498,Good quality(3498)
130,116,66.2185686653772,912.469052224371,Good quality(3498),3498,Good quality(3498)
133,78,66.3262260127932,873.579957356077,Good quality(3498),3498,Good quality(3498)
135,99,68.8941018766756,1377.87935656836,Good quality(3498),3498,Good quality(3498)
138,87,68.2215288611544,1844.32761310452,Good quality(3498),3498,Good quality(3498)
143,60,68.0221327967807,149.987927565392,Good quality(3498),3498,Good quality(3498)
144,103,76.1503604531411,173.018537590113,Good quality(3498),3498,Good quality(3498)
145,128,71.3416815742397,534.474060822898,Good quality(3498),3498,Good quality(3498)
150,322,81.7625570776256,1938.90802348337,Good quality(3498),3498,Good quality(3498)
152,170,81.7142857142857,115.470238095238,Good quality(3498),3498,Good quality(3498)
153,231,80.9411337209303,230.015261627907,Good quality(3498),3498,Good quality(3498)
158,71,75.6649282920469,1353.7444589309,Good quality(3498),3498,Good quality(3498)
161,112,76.1613876319759,1432.1915535445,Good quality(3498),3498,Good quality(3498)
170,103,76.8778467908903,975.354037267081,Good quality(3498),3498,Good quality(3498)
171,63,79.4337837837838,1099.42702702703,Good quality(3498),3498,Good quality(3498)
172,54,74.2460496613996,2031.44695259594,Good quality(3498),3498,Good quality(3498)
174,133,80.6681514476615,2373.10913140312,Good quality(3498),3498,Good quality(3498)
175,72,80.2226056945643,311.871440897325,Good quality(3498),3498,Good quality(3498)
178,114,89.2739852398524,638.192804428044,Good quality(3498),3498,Good quality(3498)
179,58,76.9307692307692,771.596153846154,Good quality(3498),3498,Good quality(3498)
181,266,101.483654276758,486.12091356919,Good quality(3498),3498,Good quality(3498)
182,178,91.4724857685009,1067.53447185326,Good quality(3498),3498,Good quality(3498)
184,75,78.9628252788104,84.3438661710037,Good quality(3498),3498,Good quality(3498)
186,104,79.638124362895,704.01630988787,Good quality(3498),3498,Good quality(3498)
192,317,92.8137782561894,1513.00053821313,Good quality(3498),3498,Good quality(3498)
196,73,90.3762626262626,736.275252525253,Good quality(3498),3498,Good quality(3498)
198,81,86.6284779050737,56.6055646481178,Good quality(3498),3498,Good quality(3498)
200,110,95.5271794871795,380.088205128205,Good quality(3498),3498,Good quality(3498)
202,105,89.3161157024793,664.111570247934,Good quality(3498),3498,Good quality(3498)
206,137,86.3392857142857,464.178571428572,Good quality(3498),3498,Good quality(3498)
215,159,88.6788413098237,141.479848866499,Good quality(3498),3498,Good quality(3498)
216,95,97.9063157894737,350.838947368421,Good quality(3498),3498,Good quality(3498)
217,54,89.0778145695364,879.129139072848,Good quality(3498),3498,Good quality(3498)
218,60,100.730322580645,1308.07741935484,Good quality(3498),3498,Good quality(3498)
219,109,88.9842931937173,1712.25828970332,Good quality(3498),3498,Good quality(3498)
224,333,109.676373884453,1469.42508219822,Good quality(3498),3498,Good quality(3498)
227,75,90.2582781456954,928.309050772627,Good quality(3498),3498,Good quality(3498)
229,185,100.582862523541,1423.63465160075,Good quality(3498),3498,Good quality(3498)
233,65,89.7325227963526,899.06990881459,Good quality(3498),3498,Good quality(3498)
238,71,101.127142857143,979.048571428572,Good quality(3498),3498,Good quality(3498)
239,142,97.7467057101025,1810.26793557833,Good quality(3498),3498,Good quality(3498)
240,89,94.6853448275862,1831.68103448276,Good quality(3498),3498,Good quality(3498)
244,95,94.2947189097104,1852.72231686542,Good quality(3498),3498,Good quality(3498)
246,115,102.475655430712,577.087078651685,Good quality(3498),3498,Good quality(3498)
247,104,99.6149369544132,1344.51406401552,Good quality(3498),3498,Good quality(3498)
248,68,98.7871198568873,30.8389982110912,Good quality(3498),3498,Good quality(3498)
251,116,117.717920353982,767.059734513274,Good quality(3498),3498,Good quality(3498)
252,95,101.807730426165,1043.71754212091,Good quality(3498),3498,Good quality(3498)
256,327,123.827782522061,521.449188727583,Good quality(3498),3498,Good quality(3498)
268,192,118.669482576558,409.210665258712,Good quality(3498),3498,Good quality(3498)
269,239,112.20734229576,696.515511892451,Good quality(3498),3498,Good quality(3498)
272,231,104.307547169811,2362.53490566038,Good quality(3498),3498,Good quality(3498)
276,201,112.339331619537,59.152527849186,Good quality(3498),3498,Good quality(3498)
277,141,112.285714285714,179.448120300752,Good quality(3498),3498,Good quality(3498)
284,116,114.198855507868,209.300429184549,Good quality(3498),3498,Good quality(3498)
285,59,108.045143638851,933.311901504788,Good quality(3498),3498,Good quality(3498)
286,143,111.945292620865,1691.95674300254,Good quality(3498),3498,Good quality(3498)
291,57,104.622641509434,92.188679245283,Good quality(3498),3498,Good quality(3498)
294,75,112.577319587629,1001.1043814433,Good quality(3498),3498,Good quality(3498)
295,69,118.5104,1140.208,Good quality(3498),3498,Good quality(3498)
299,78,110.117647058824,113.72192513369,Good quality(3498),3498,Good quality(3498)
300,118,111.042207792208,139.413961038961,Good quality(3498),3498,Good quality(3498)
301,75,109.647222222222,614.661111111111,Good quality(3498),3498,Good quality(3498)
303,146,109.597542242704,1774.95852534562,Good quality(3498),3498,Good quality(3498)
305,57,117.889081455806,889.561525129983,Good quality(3498),3498,Good quality(3498)
312,154,142.208388814913,370.305592543276,Good quality(3498),3498,Good quality(3498)
315,73,124.292537313433,591.974626865672,Good quality(3498),3498,Good quality(3498)
318,140,123.380239520958,1857.36676646707,Good quality(3498),3498,Good quality(3498)
321,170,133.97827562797,82.4942294636796,Good quality(3498),3498,Good quality(3498)
325,404,136.525773195876,2337.12306701031,Good quality(3498),3498,Good quality(3498)
326,95,125.260402684564,651.506040268456,Good quality(3498),3498,Good quality(3498)
328,88,122.529769137303,1292.81044957473,Good quality(3498),3498,Good quality(3498)
329,138,141.109425785482,437.863488624052,Good quality(3498),3498,Good quality(3498)
332,73,120.647058823529,1811.89411764706,Good quality(3498),3498,Good quality(3498)
336,99,124.918446601942,1832.4854368932,Good quality(3498),3498,Good quality(3498)
